,Team,Match Up,Game Date,W/L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
0,MIA,MIA @ BOS,04/13/2016,L,48,98.9,110.1,-11.2,36.8,1.4,11.8,31.4,68.0,49.5,11.2,44.3,47.2,89.0,44.7
1,LAL,LAL vs. UTA,04/13/2016,W,48,106.3,101.1,5.3,46.3,1.36,15.2,27.3,81.3,55.4,14.7,51.8,55.1,95.0,51.7
2,MEM,MEM @ GSW,04/13/2016,L,48,104.0,125.0,-21.0,59.5,1.92,17.5,32.8,67.4,47.5,13.0,46.9,49.5,100.0,37.4
3,DAL,DAL vs. SAS,04/13/2016,L,48,101.1,106.7,-5.6,64.5,1.67,16.5,22.9,73.8,46.7,13.3,48.1,52.8,90.0,44.3
4,BKN,BKN vs. TOR,04/13/2016,L,48,104.3,109.6,-5.2,66.7,3.25,20.5,17.0,65.5,41.7,8.7,49.4,50.9,93.0,46.3
5,MIL,MIL vs. IND,04/13/2016,L,48,91.1,96.0,-5.0,62.2,1.53,17.4,17.6,75.0,46.6,14.9,46.6,49.6,101.0,47.0
6,PHX,PHX vs. LAC,04/13/2016,W,48,108.6,99.1,9.5,57.8,1.53,17.1,36.8,77.8,56.8,16.2,49.0,52.4,105.5,55.9
7,ORL,ORL @ CHA,04/13/2016,L,48,102.0,114.7,-12.7,52.4,2.2,16.9,15.4,88.1,47.9,9.9,50.5,52.1,101.5,39.8
8,LAC,LAC @ PHX,04/13/2016,L,48,99.1,108.6,-9.5,53.5,1.53,16.5,22.2,63.2,43.2,14.2,49.5,51.8,105.5,44.1
9,CHI,CHI vs. PHI,04/13/2016,W,48,117.3,108.2,9.1,69.2,1.59,19.1,37.0,87.0,62.0,17.3,56.0,60.6,97.5,57.0
10,POR,POR vs. DEN,04/13/2016,W,48,105.9,98.0,7.9,48.7,1.12,14.0,31.4,62.1,47.7,16.8,50.0,54.2,101.0,52.8
11,HOU,HOU vs. SAC,04/13/2016,W,48,111.5,77.9,33.7,70.2,2.36,21.6,31.5,70.1,52.9,13.5,53.6,55.0,104.0,72.1
12,DET,DET @ CLE,04/13/2016,W,53,109.8,111.1,-1.3,64.9,2.0,17.4,27.5,73.1,50.5,11.8,52.9,57.5,91.02,54.7
13,WAS,WAS vs. ATL,04/13/2016,W,48,100.0,91.6,8.4,59.5,1.32,17.0,26.4,77.4,51.9,17.4,52.8,53.9,108.0,55.1
14,PHI,PHI @ CHI,04/13/2016,L,48,108.2,117.3,-9.1,75.7,2.15,21.5,13.0,63.0,38.0,13.4,56.2,59.0,97.5,43.0
15,GSW,GSW vs. MEM,04/13/2016,W,48,125.0,104.0,21.0,76.1,2.06,23.6,32.6,67.2,52.5,17.0,64.4,66.5,100.0,62.6
16,CLE,CLE vs. DET,04/13/2016,L,53,111.1,109.8,1.3,45.7,2.1,15.7,26.9,72.5,49.5,10.1,51.0,53.1,91.02,45.3
17,SAS,SAS @ DAL,04/13/2016,W,48,106.7,101.1,5.6,68.6,1.6,19.4,26.2,77.1,53.3,16.7,51.4,56.2,90.0,55.7
18,IND,IND @ MIL,04/13/2016,W,48,96.0,91.1,5.0,71.8,1.65,19.9,25.0,82.4,53.4,16.8,49.4,51.4,101.0,53.0
19,MIN,MIN vs. NOP,04/13/2016,W,48,137.1,104.8,32.3,73.2,3.15,27.0,21.2,73.6,53.5,12.4,72.7,74.9,104.5,67.0
20,NOP,NOP @ MIN,04/13/2016,L,48,104.8,137.1,-32.3,77.5,1.94,20.8,26.4,78.8,46.5,15.4,49.5,53.6,104.5,33.0
21,UTA,UTA @ LAL,04/13/2016,L,48,101.1,106.3,-5.3,69.2,1.93,20.6,18.8,72.7,44.6,14.7,52.4,53.6,95.0,48.3
22,BOS,BOS vs. MIA,04/13/2016,W,48,110.1,98.9,11.2,54.1,2.86,16.1,32.0,68.6,50.5,7.9,45.9,51.2,89.0,55.3
23,DEN,DEN @ POR,04/13/2016,L,48,98.0,105.9,-7.9,60.0,1.2,16.4,37.9,68.6,52.3,19.8,46.3,48.6,101.0,47.2
24,ATL,ATL @ WAS,04/13/2016,L,48,91.6,100.0,-8.4,68.8,0.96,15.6,22.6,73.6,48.1,21.5,46.3,51.8,108.0,44.9
25,SAC,SAC @ HOU,04/13/2016,L,48,77.9,111.5,-33.7,65.6,1.05,14.6,29.9,68.5,47.1,19.2,39.1,39.8,104.0,27.9
26,CHA,CHA vs. ORL,04/13/2016,W,48,114.7,102.0,12.7,68.1,3.2,23.0,11.9,84.6,52.1,9.8,61.0,62.0,101.5,60.2
27,TOR,TOR @ BKN,04/13/2016,W,48,109.6,104.3,5.2,58.5,2.67,17.8,34.5,83.0,58.3,9.6,51.1,51.7,93.0,53.7
28,MEM,MEM @ LAC,04/12/2016,L,48,94.4,122.2,-27.8,45.7,1.0,13.0,35.8,75.0,51.7,18.0,43.6,45.6,89.5,27.9
29,MIA,MIA @ DET,04/12/2016,W,48,106.5,100.0,6.5,39.5,1.0,12.6,27.3,56.4,43.4,16.1,53.2,56.5,93.0,54.1
30,PHI,PHI @ TOR,04/12/2016,L,48,102.1,128.4,-26.3,68.6,1.71,18.6,20.8,51.0,36.1,14.6,55.2,55.7,95.5,38.5
31,SAS,SAS vs. OKC,04/12/2016,W,53,102.0,100.0,2.0,40.5,1.36,11.5,31.5,58.5,44.9,11.0,44.8,50.5,89.66,52.0
32,TOR,TOR vs. PHI,04/12/2016,W,48,128.4,102.1,26.3,52.1,1.79,17.5,49.0,79.2,63.9,14.7,55.8,59.0,95.5,61.5
33,DET,DET vs. MIA,04/12/2016,L,48,100.0,106.5,-6.5,44.1,0.94,11.5,43.6,72.7,56.6,17.2,43.5,47.8,93.0,45.9
34,LAC,LAC vs. MEM,04/12/2016,W,48,122.2,94.4,27.8,70.7,2.64,22.7,25.0,64.2,48.3,12.2,62.7,65.3,89.5,72.1
35,OKC,OKC @ SAS,04/12/2016,L,53,100.0,102.0,-2.0,51.4,0.86,13.1,41.5,68.5,55.1,21.4,43.7,50.0,89.66,48.0
36,IND,IND vs. NYK,04/12/2016,W,48,112.1,97.8,14.3,63.4,1.86,20.3,28.6,80.0,55.2,15.4,55.0,57.4,91.5,56.7
37,NYK,NYK @ IND,04/12/2016,L,48,97.8,112.1,-14.3,75.0,1.69,21.3,20.0,71.4,44.8,17.4,51.3,53.6,91.5,43.3
38,CHI,CHI @ NOP,04/11/2016,W,48,131.5,127.5,4.0,65.9,3.22,22.5,27.3,71.4,52.0,9.8,63.6,68.4,91.5,54.6
39,NOP,NOP vs. CHI,04/11/2016,L,48,127.5,131.5,-4.0,68.3,2.8,21.4,28.6,72.7,48.0,11.0,58.8,62.8,91.5,45.4
40,MIN,MIN vs. HOU,04/11/2016,L,48,100.0,124.0,-24.0,65.8,1.79,17.7,22.4,74.4,46.7,13.3,48.8,53.8,104.5,42.3
41,LAL,LAL @ OKC,04/11/2016,L,48,78.2,112.0,-33.8,65.2,1.0,11.8,20.0,70.0,45.0,14.9,32.7,41.9,100.5,31.4
