,Team,Match Up,Game Date,W/L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
0,CHA,CHA vs. ORL,04/10/2019,L,48,122.6,131.2,-8.6,51.2,2.63,17.6,18.4,71.4,46.3,8.6,57.7,63.4,93.0,48.1
1,IND,IND @ ATL,04/10/2019,W,48,125.0,122.9,2.1,48.9,2.75,15.1,28.6,53.1,41.7,7.4,52.0,58.6,108.5,50.3
2,MIA,MIA @ BKN,04/10/2019,L,48,87.0,104.6,-17.6,57.9,1.47,15.6,18.8,69.4,45.6,13.9,42.9,44.9,108.0,43.3
3,ATL,ATL vs. IND,04/10/2019,L,48,122.9,125.0,-2.1,67.4,1.71,17.5,46.9,71.4,58.3,15.6,50.0,56.0,108.5,49.7
4,GSW,GSW @ MEM,04/10/2019,L,48,115.8,130.7,-14.9,69.6,2.29,22.4,25.5,65.4,46.5,13.9,57.1,59.6,101.0,46.7
5,DAL,DAL @ SAS,04/10/2019,L,48,95.9,108.2,-12.3,73.0,3.86,20.3,16.1,77.1,44.2,7.1,46.7,48.8,97.5,43.6
6,PHI,PHI vs. CHI,04/10/2019,W,48,130.2,113.5,16.7,57.7,4.29,21.7,26.7,72.2,51.5,7.3,62.4,62.8,96.0,60.1
7,SAS,SAS vs. DAL,04/10/2019,W,48,108.2,95.9,12.3,53.7,2.0,16.9,22.9,83.9,55.8,11.3,51.1,54.7,97.5,56.4
8,MIN,MIN @ DEN,04/10/2019,L,48,99.0,103.1,-4.2,61.5,2.4,18.6,16.7,74.5,44.8,10.4,50.0,50.7,96.0,43.8
9,CHI,CHI @ PHI,04/10/2019,L,48,113.5,130.2,-16.7,46.7,2.63,15.9,27.8,73.3,48.5,8.3,52.1,53.6,96.0,39.9
10,OKC,OKC @ MIL,04/10/2019,W,48,114.4,105.5,9.0,83.3,3.08,25.0,16.7,75.0,47.4,11.7,60.1,60.6,110.5,56.0
11,ORL,ORL @ CHA,04/10/2019,W,48,131.2,122.6,8.6,50.0,4.0,18.8,28.6,81.6,53.8,6.5,60.8,63.0,93.0,51.9
12,NYK,NYK vs. DET,04/10/2019,L,48,93.7,118.6,-24.9,74.2,2.09,18.9,7.8,68.9,36.5,11.6,46.1,50.6,96.0,38.4
13,DET,DET @ NYK,04/10/2019,W,48,118.6,93.7,24.9,61.0,1.79,18.4,31.1,92.2,63.5,14.4,56.5,61.3,96.0,61.6
