,Team,Match Up,Game Date,W/L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
0,DAL,DAL @ ATL,04/26/2012,L,48,92.7,109.3,-16.6,60.6,1.25,15.9,20.8,75.6,46.1,16.7,45.5,50.5,96.5,42.2
1,NJN,NJN @ TOR,04/26/2012,L,48,72.8,105.4,-32.6,60.0,1.0,12.5,23.3,62.3,41.6,16.3,33.7,37.2,92.5,24.2
2,MEM,MEM vs. ORL,04/26/2012,W,48,100.0,87.4,12.6,52.9,1.29,15.4,29.3,80.4,56.3,15.9,48.6,53.9,87.5,62.4
3,GSW,GSW vs. SAS,04/26/2012,L,48,103.1,109.2,-6.1,55.6,1.56,18.8,22.2,63.6,45.0,16.3,52.9,54.7,98.0,48.9
4,DEN,DEN @ MIN,04/26/2012,W,48,129.7,101.0,28.7,53.6,1.88,20.8,38.9,76.9,61.4,15.8,65.7,67.0,101.0,65.2
5,NOH,NOH @ HOU,04/26/2012,L,48,84.6,91.3,-6.7,55.6,1.0,13.4,12.8,68.9,44.4,16.5,43.4,47.4,91.5,48.3
6,UTA,UTA vs. POR,04/26/2012,W,48,104.3,103.3,1.1,42.9,1.25,12.2,35.3,76.1,54.6,13.0,45.8,50.6,91.5,50.3
7,SAS,SAS @ GSW,04/26/2012,W,48,109.2,103.1,6.1,64.3,2.08,18.6,36.4,77.8,55.0,13.3,48.4,51.7,98.0,51.1
8,HOU,HOU vs. NOH,04/26/2012,W,48,91.3,84.6,6.7,65.6,1.91,16.0,31.1,87.2,55.6,12.0,40.1,43.2,91.5,51.7
9,SAC,SAC vs. LAL,04/26/2012,W,48,120.2,102.1,18.1,44.7,2.63,16.2,33.3,67.3,51.0,8.5,54.3,56.5,94.0,58.4
10,DET,DET vs. PHI,04/26/2012,W,48,122.7,97.7,25.0,70.7,2.23,22.1,34.9,63.6,51.0,14.8,59.3,61.3,88.0,61.1
11,TOR,TOR vs. NJN,04/26/2012,W,48,105.4,72.8,32.6,62.2,1.64,17.3,37.7,76.7,58.4,15.1,47.7,51.1,92.5,75.8
12,LAL,LAL @ SAC,04/26/2012,L,48,102.1,120.2,-18.1,65.9,1.8,19.7,32.7,66.7,49.0,16.0,48.9,50.5,94.0,41.6
13,MIL,MIL @ BOS,04/26/2012,L,48,75.5,87.9,-12.4,58.6,0.74,13.2,25.5,78.8,51.4,23.5,38.5,42.0,98.5,38.0
14,BOS,BOS vs. MIL,04/26/2012,W,48,87.9,75.5,12.4,77.1,1.8,19.9,21.2,74.5,48.6,15.2,44.8,47.4,98.5,62.0
15,WAS,WAS vs. MIA,04/26/2012,W,48,108.3,73.7,34.6,64.3,1.69,20.6,23.7,84.4,56.6,16.7,58.6,60.1,95.5,77.5
16,ORL,ORL @ MEM,04/26/2012,L,48,87.4,100.0,-12.6,46.7,0.93,12.7,19.6,70.7,43.7,17.2,45.9,47.7,87.5,37.6
17,POR,POR @ UTA,04/26/2012,L,48,103.3,104.3,-1.1,66.7,1.71,19.2,23.9,64.7,45.4,15.4,48.8,53.2,91.5,49.7
18,MIA,MIA @ WAS,04/26/2012,L,48,73.7,108.3,-34.6,45.8,0.5,9.7,15.6,76.3,43.4,23.2,38.8,45.1,95.5,22.5
19,CHI,CHI vs. CLE,04/26/2012,W,48,120.2,83.3,36.9,64.4,3.22,22.1,31.7,73.1,57.4,10.1,55.9,57.9,89.5,78.9
20,PHI,PHI @ DET,04/26/2012,L,48,97.7,122.7,-25.0,61.8,1.91,16.4,36.4,65.1,49.0,12.5,42.0,45.7,88.0,38.9
21,MIN,MIN vs. DEN,04/26/2012,L,48,101.0,129.7,-28.7,55.0,1.69,16.5,23.1,61.1,38.6,12.9,50.6,52.4,101.0,34.8
22,ATL,ATL vs. DAL,04/26/2012,W,48,109.3,92.7,16.6,62.2,1.75,20.9,24.4,79.2,53.9,16.5,58.2,59.6,96.5,57.8
23,CHA,CHA vs. NYK,04/26/2012,L,48,89.4,111.8,-22.5,62.5,1.25,16.0,27.3,75.0,51.1,17.0,47.3,49.2,93.5,38.9
24,NYK,NYK @ CHA,04/26/2012,W,48,111.8,89.4,22.5,70.5,2.82,23.1,25.0,72.7,48.9,11.8,56.5,56.8,93.5,61.1
25,CLE,CLE @ CHI,04/26/2012,L,48,83.3,120.2,-36.9,28.6,0.89,7.0,26.9,68.3,42.6,10.0,33.3,38.1,89.5,21.1
26,WAS,WAS @ CLE,04/25/2012,W,48,102.1,91.4,10.7,52.5,1.4,15.4,40.7,72.7,55.1,16.0,46.2,49.0,93.5,55.2
27,PHX,PHX vs. SAS,04/25/2012,L,48,107.1,110.0,-2.9,42.2,1.27,14.2,31.4,71.4,51.0,15.2,50.5,53.1,99.5,48.1
28,ORL,ORL vs. CHA,04/25/2012,W,48,110.9,103.3,7.6,63.6,1.62,16.3,32.7,80.5,53.8,14.1,48.8,54.1,92.0,50.3
29,CHI,CHI @ IND,04/25/2012,W,48,104.5,100.0,4.5,71.1,2.08,21.3,32.6,75.0,54.9,14.8,50.6,53.9,87.5,55.9
30,DEN,DEN @ OKC,04/25/2012,W,48,116.5,111.0,5.5,52.5,1.91,15.6,41.8,68.3,53.1,12.1,48.9,51.4,91.0,50.2
31,LAC,LAC @ NYK,04/25/2012,L,48,109.4,116.5,-7.1,55.9,1.36,16.5,27.9,71.1,50.0,16.5,56.4,57.4,85.0,46.3
32,CLE,CLE vs. WAS,04/25/2012,L,48,91.4,102.1,-10.7,52.9,1.0,14.6,27.3,59.3,44.9,19.4,46.8,50.0,93.5,44.8
33,CHA,CHA @ ORL,04/25/2012,L,48,103.3,110.9,-7.6,58.1,1.38,15.5,19.5,67.3,46.2,14.1,47.9,56.5,92.0,49.7
34,PHI,PHI @ MIL,04/25/2012,W,48,91.8,86.7,5.1,66.7,2.18,16.7,35.8,78.3,53.1,11.2,38.1,41.3,98.0,47.7
35,OKC,OKC vs. DEN,04/25/2012,L,48,111.0,116.5,-5.5,46.2,1.0,14.8,31.7,58.2,46.9,19.8,55.7,59.0,91.0,49.8
36,MIL,MIL vs. PHI,04/25/2012,L,48,86.7,91.8,-5.1,72.2,1.24,19.4,21.7,64.2,46.9,21.4,48.1,50.0,98.0,52.3
37,NYK,NYK vs. LAC,04/25/2012,W,48,116.5,109.4,7.1,50.0,2.25,15.5,28.9,72.1,50.0,9.4,52.6,56.5,85.0,53.8
38,SAS,SAS @ PHX,04/25/2012,W,48,110.0,107.1,2.9,56.1,1.64,16.8,28.6,68.6,49.0,14.0,51.1,56.1,99.5,51.9
39,IND,IND vs. CHI,04/25/2012,L,48,100.0,104.5,-4.5,45.7,1.45,13.9,25.0,67.4,45.1,12.6,47.5,50.0,87.5,44.1
40,ATL,ATL vs. LAC,04/24/2012,W,48,118.5,112.1,6.4,55.8,1.6,18.0,40.9,72.7,56.8,16.3,56.4,59.1,91.5,53.3
41,SAC,SAC @ OKC,04/24/2012,L,48,113.4,121.6,-8.2,44.2,1.58,15.2,22.0,67.4,46.0,12.4,54.9,58.6,97.0,48.5
42,BOS,BOS vs. MIA,04/24/2012,W,48,86.7,75.0,11.7,46.9,1.0,13.3,20.0,73.9,47.3,16.7,45.9,48.1,89.0,61.1
