,Team,Match Up,Game Date,W/L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
0,DAL,DAL @ MEM,04/16/2014,L,53,111.7,112.8,-1.1,50.0,1.69,16.5,38.8,53.8,46.5,13.8,52.2,54.2,85.13,49.1
1,GSW,GSW @ DEN,04/16/2014,W,48,108.4,104.7,3.7,61.4,1.93,18.2,25.5,74.5,49.1,13.1,53.3,55.0,107.0,55.6
2,WAS,WAS @ BOS,04/16/2014,W,48,121.6,105.2,16.5,52.0,2.17,19.5,30.0,72.9,53.4,12.4,60.2,61.8,97.0,56.2
3,OKC,OKC vs. DET,04/16/2014,W,48,116.7,115.6,1.0,60.5,1.53,16.0,47.2,64.6,55.4,15.6,47.1,53.8,96.0,55.0
4,ORL,ORL vs. IND,04/16/2014,L,48,96.6,112.2,-15.6,43.8,1.4,12.2,23.5,65.3,44.0,11.2,43.7,48.0,89.5,40.5
5,POR,POR vs. LAC,04/16/2014,W,48,111.1,106.1,5.0,69.0,2.9,19.0,41.0,81.1,59.6,10.1,46.5,49.7,98.5,54.1
6,UTA,UTA @ MIN,04/16/2014,W,58,113.3,110.2,3.2,56.6,1.58,17.4,39.7,67.2,53.8,15.8,51.9,56.3,98.48,54.1
7,CLE,CLE vs. BKN,04/16/2014,W,48,120.0,89.5,30.5,69.6,2.67,22.9,30.2,79.2,57.3,12.6,57.5,60.3,95.0,67.9
8,PHX,PHX @ SAC,04/16/2014,W,48,105.1,101.0,4.0,40.0,1.45,13.0,16.0,66.0,41.7,11.1,51.2,54.3,98.5,51.2
9,DET,DET @ OKC,04/16/2014,L,48,115.6,116.7,-1.0,47.6,1.18,15.0,35.4,52.8,44.6,17.7,55.4,57.4,96.0,45.0
10,MEM,MEM vs. DAL,04/16/2014,W,53,112.8,111.7,1.1,58.1,1.47,17.6,46.2,61.2,53.5,18.1,51.7,53.5,85.13,50.9
11,LAC,LAC @ POR,04/16/2014,L,48,106.1,111.1,-5.0,58.8,2.5,15.6,18.9,59.0,40.4,8.2,45.2,52.8,98.5,45.9
12,BKN,BKN @ CLE,04/16/2014,L,48,89.5,120.0,-30.5,70.0,1.31,16.7,20.8,69.8,42.7,16.8,43.0,47.7,95.0,32.1
13,MIN,MIN vs. UTA,04/16/2014,L,58,110.2,113.3,-3.2,60.0,1.6,14.9,32.8,60.3,46.2,12.7,45.4,53.8,98.48,45.9
14,SAS,SAS vs. LAL,04/16/2014,L,48,98.0,109.7,-11.7,61.0,2.5,18.0,22.0,85.4,50.5,9.8,46.5,48.4,102.5,42.4
