,Team,Match Up,Game Date,W/L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
0,MEM,MEM @ LAC,04/13/2011,L,48,106.2,115.8,-9.6,69.4,1.19,17.6,44.0,68.3,54.9,21.6,47.0,53.5,96.0,40.6
1,DAL,DAL vs. NOH,04/13/2011,W,48,127.4,94.7,32.7,80.0,2.29,24.1,18.9,84.8,55.4,14.7,63.7,68.8,94.5,67.3
2,NJN,NJN @ CHI,04/13/2011,L,48,104.5,109.0,-4.4,58.3,1.62,17.4,28.9,59.6,44.6,14.8,48.8,52.8,88.5,47.8
3,NOH,NOH @ DAL,04/13/2011,L,48,94.7,127.4,-32.7,67.6,1.64,18.7,15.2,81.1,44.6,14.9,46.8,51.5,94.5,32.7
4,TOR,TOR vs. MIA,04/13/2011,L,48,90.8,114.1,-23.3,57.1,0.94,13.9,30.2,60.0,45.5,19.5,44.5,50.0,86.0,42.0
5,CHA,CHA vs. ATL,04/13/2011,W,48,106.7,95.5,11.2,67.5,3.0,21.6,22.0,72.9,49.4,10.0,51.9,55.1,89.5,61.7
6,GSW,GSW vs. POR,04/13/2011,W,48,114.6,89.6,25.0,73.3,2.75,23.7,27.3,62.1,47.1,12.5,56.8,58.1,96.0,68.8
7,CHI,CHI vs. NJN,04/13/2011,W,48,109.0,104.5,4.4,67.6,1.77,17.8,40.4,71.1,55.4,14.6,47.5,53.4,88.5,52.2
8,PHX,PHX vs. SAS,04/13/2011,W,48,115.2,110.8,4.5,62.2,3.83,17.3,31.0,69.2,49.1,6.5,44.6,50.6,92.5,48.9
9,HOU,HOU @ MIN,04/13/2011,W,48,118.6,100.0,18.6,76.2,2.13,21.9,30.4,72.2,53.0,14.7,57.1,61.7,102.0,61.4
10,OKC,OKC vs. MIL,04/13/2011,L,53,100.0,103.8,-3.8,61.9,1.08,17.6,37.0,82.4,60.8,22.6,52.3,55.3,96.0,49.0
11,SAC,SAC vs. LAL,04/13/2011,L,53,103.8,109.4,-5.6,53.3,2.0,16.7,29.3,83.3,53.8,11.5,49.0,50.3,95.09,43.1
12,UTA,UTA vs. DEN,04/13/2011,W,48,113.8,109.6,4.3,64.1,1.56,19.2,28.6,70.0,48.8,17.0,55.8,60.5,94.0,54.1
13,MIN,MIN vs. HOU,04/13/2011,L,48,100.0,118.6,-18.6,48.8,1.33,14.6,27.8,69.6,47.0,14.7,46.7,50.4,102.0,38.6
14,SAS,SAS @ PHX,04/13/2011,L,48,110.8,115.2,-4.5,54.3,2.38,15.1,30.8,69.0,50.9,8.6,45.7,52.4,92.5,51.1
15,MIA,MIA @ TOR,04/13/2011,W,48,114.1,90.8,23.3,54.1,1.33,16.3,40.0,69.8,54.5,17.6,53.7,55.6,86.0,58.0
16,MIL,MIL @ OKC,04/13/2011,W,53,103.8,100.0,3.8,55.0,1.69,16.1,17.6,63.0,39.2,12.3,49.4,55.1,96.0,51.0
17,BOS,BOS vs. NYK,04/13/2011,W,48,114.3,106.3,8.0,39.6,1.19,15.1,28.2,72.9,52.9,16.3,61.2,61.7,97.0,54.2
18,DET,DET @ PHI,04/13/2011,W,48,109.5,104.2,5.3,70.3,2.36,20.3,19.0,73.6,49.5,11.6,52.6,58.0,95.5,54.2
19,LAL,LAL @ SAC,04/13/2011,W,53,109.4,103.8,5.6,66.7,2.5,20.8,16.7,70.7,46.2,11.3,52.7,57.6,95.09,56.9
20,WAS,WAS @ CLE,04/13/2011,L,48,100.0,107.5,-7.5,61.5,1.5,17.4,41.5,64.0,52.4,17.2,45.6,48.1,93.0,46.2
21,CLE,CLE vs. WAS,04/13/2011,W,48,107.5,100.0,7.5,65.7,1.77,17.3,36.0,58.5,47.6,14.0,45.2,52.2,93.0,53.8
22,LAC,LAC vs. MEM,04/13/2011,W,48,115.8,106.2,9.6,81.8,2.0,25.0,31.7,56.0,45.1,18.9,56.2,59.2,96.0,59.4
23,IND,IND @ ORL,04/13/2011,L,48,75.5,93.9,-18.4,59.3,0.89,12.6,24.2,68.3,41.7,18.4,35.8,38.9,98.0,24.8
24,DEN,DEN @ UTA,04/13/2011,L,48,109.6,113.8,-4.3,38.5,0.94,12.5,30.0,71.4,51.2,17.0,52.6,58.2,94.0,45.9
25,ATL,ATL @ CHA,04/13/2011,L,48,95.5,106.7,-11.2,47.1,1.14,13.6,27.1,78.0,50.6,15.7,43.7,48.4,89.5,38.3
26,PHI,PHI vs. DET,04/13/2011,L,48,104.2,109.5,-5.3,69.2,3.0,20.1,26.4,81.0,50.5,9.4,47.3,51.0,95.5,45.8
27,NYK,NYK @ BOS,04/13/2011,L,48,106.3,114.3,-8.0,56.4,1.38,16.8,27.1,71.8,47.1,16.7,50.0,54.1,97.0,45.8
28,POR,POR @ GSW,04/13/2011,L,48,89.6,114.6,-25.0,64.3,0.86,13.4,37.9,72.7,52.9,21.9,40.4,45.7,96.0,31.2
29,ORL,ORL vs. IND,04/13/2011,W,48,93.9,75.5,18.4,53.1,0.61,13.4,31.7,75.8,58.3,28.6,49.3,54.8,98.0,75.2
30,LAL,LAL vs. SAS,04/12/2011,W,48,106.3,97.9,8.4,66.7,2.0,18.6,22.2,75.9,52.4,12.5,48.7,55.8,95.5,58.7
31,MEM,MEM @ POR,04/12/2011,L,48,102.3,120.0,-17.7,44.4,1.07,13.2,43.2,63.6,53.4,17.2,49.4,51.2,86.0,36.3
32,SAS,SAS @ LAL,04/12/2011,L,48,97.9,106.3,-8.4,58.1,2.0,14.3,24.1,77.8,47.6,9.5,40.3,47.2,95.5,41.3
33,NYK,NYK vs. CHI,04/12/2011,L,48,96.8,110.8,-14.0,55.9,1.58,15.6,21.6,64.6,42.4,12.9,45.8,49.7,93.0,41.7
34,POR,POR vs. MEM,04/12/2011,W,48,120.0,102.3,17.7,63.9,2.09,18.5,36.4,56.8,46.6,12.9,50.6,56.6,86.0,63.7
35,CHI,CHI @ NYK,04/12/2011,W,48,110.8,96.8,14.0,55.6,1.54,15.5,35.4,78.4,57.6,14.0,47.6,54.3,93.0,58.3
36,GSW,GSW @ DEN,04/11/2011,L,48,109.9,131.4,-21.5,50.0,1.67,15.3,21.2,68.1,43.4,11.9,51.7,55.9,101.5,37.1
37,ATL,ATL vs. MIA,04/11/2011,L,48,104.7,112.6,-8.0,67.6,1.79,19.1,40.8,65.7,51.2,16.3,47.0,48.8,86.5,42.5
38,OKC,OKC @ SAC,04/11/2011,W,48,120.0,113.1,6.9,46.5,1.05,15.4,33.3,62.3,50.6,19.0,58.7,65.7,99.5,54.8
39,MIN,MIN @ PHX,04/11/2011,L,53,119.8,127.4,-7.5,40.4,1.24,14.9,33.3,69.6,51.6,16.0,58.4,61.2,96.0,45.9
40,CHA,CHA @ NJN,04/11/2011,W,48,126.5,124.1,2.4,60.0,3.38,22.3,32.4,69.4,50.7,9.6,59.5,61.0,83.0,51.4
41,UTA,UTA @ NOH,04/11/2011,W,48,104.7,90.7,14.0,67.6,1.67,21.7,12.1,62.5,42.0,17.4,59.7,61.1,86.0,61.4
42,ORL,ORL @ PHI,04/11/2011,W,48,106.7,97.7,9.0,68.6,1.33,17.8,47.9,77.1,62.5,20.2,50.6,53.2,88.0,56.1
43,MIL,MIL vs. TOR,04/11/2011,W,48,97.9,90.5,7.4,62.5,1.25,15.7,28.3,61.4,46.6,16.8,44.1,52.1,95.0,61.0
44,CLE,CLE @ DET,04/11/2011,W,48,119.6,112.2,7.3,71.8,4.67,20.9,30.6,67.5,47.2,6.5,50.0,55.6,91.0,53.3
45,SAC,SAC vs. OKC,04/11/2011,L,48,113.1,120.0,-6.9,60.0,1.62,15.1,37.7,66.7,49.4,13.1,43.5,54.1,99.5,45.2
46,BOS,BOS @ WAS,04/11/2011,L,53,88.7,89.6,-0.9,62.5,0.95,14.2,29.6,72.2,50.9,19.8,39.3,47.5,96.0,52.3
47,WAS,WAS vs. BOS,04/11/2011,W,53,89.6,88.7,0.9,41.2,0.78,10.4,27.8,70.4,49.1,17.0,41.2,47.9,96.0,47.7
