,Team,Match Up,Game Date,W/L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
37,POR,POR @ DAL,08/11/2020,W,48,125.2,124.8,0.5,39.1,2.25,13.0,28.8,83.7,53.7,7.5,54.6,60.5,106.0,49.2
38,WAS,WAS vs. MIL,08/11/2020,L,48,105.6,116.7,-11.1,56.4,2.0,15.4,23.7,75.0,46.7,10.3,47.4,52.2,107.5,41.3
39,BKN,BKN @ ORL,08/11/2020,W,48,106.9,95.0,11.9,68.4,1.73,18.6,24.5,73.6,49.1,14.9,50.0,54.2,101.0,59.3
40,MIL,MIL @ WAS,08/11/2020,W,48,116.7,105.6,11.1,56.8,1.67,17.4,25.0,76.3,53.3,13.9,60.9,63.4,107.5,58.7
41,SAS,SAS vs. HOU,08/11/2020,W,48,107.9,92.1,15.8,60.9,1.27,18.3,24.5,90.9,59.6,19.3,56.5,60.4,114.0,60.9
42,MEM,MEM vs. BOS,08/11/2020,L,48,110.3,127.1,-16.8,74.3,3.25,18.6,29.3,69.6,47.1,8.2,43.3,50.6,96.5,45.6
43,SAC,SAC vs. NOP,08/11/2020,W,48,109.8,103.9,5.9,62.8,1.29,18.6,34.8,78.6,55.7,20.6,55.1,58.9,102.0,50.7
44,LAL,LAL vs. DEN,08/10/2020,W,48,137.8,133.0,4.8,63.6,2.8,20.9,38.1,60.0,48.1,11.1,63.0,65.2,90.5,49.6
45,DAL,DAL @ UTA,08/10/2020,W,48,131.2,122.6,8.6,60.4,3.63,22.1,23.7,72.7,50.0,8.6,63.5,66.3,93.0,53.8
46,TOR,TOR @ MIL,08/10/2020,W,48,108.6,99.1,9.5,57.1,1.71,16.3,30.5,73.2,51.3,13.3,49.5,52.6,106.0,53.8
47,MIA,MIA vs. IND,08/10/2020,W,48,110.7,90.2,20.5,65.9,2.07,19.3,32.8,82.1,57.0,13.6,51.5,53.6,102.5,64.3
48,IND,IND @ MIA,08/10/2020,L,48,90.2,110.7,-20.5,60.6,1.18,15.3,17.9,67.2,43.0,16.7,45.2,48.4,102.5,35.7
